Run ID    : efficientnetb1_5ch_euvp_bs16_20260624_132042
Ckpt dir  : ./checkpoints/efficientnetb1_5ch_euvp_bs16_20260624_132042
Log file  : D:\underwater-image-enhancement\logs\efficientnetb1_5ch_euvp_bs16_20260624_132042.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnetb1_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnetb1_5ch_euvp_bs16
Timestamp : 2026-06-24 13:20:42
-----------------------------------------------------------------

=================================================================
  Training: efficientnetb1_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 600/643] Loss: 0.9316
    28    0.9454    0.9800   23.314   0.8632   1.00e-04  178.5s
   [Batch 50/643] Loss: 0.8731
   [Batch 100/643] Loss: 0.8866
   [Batch 150/643] Loss: 0.9446
   [Batch 200/643] Loss: 0.9556
   [Batch 250/643] Loss: 0.9161
   [Batch 300/643] Loss: 0.8991
   [Batch 350/643] Loss: 0.9320
   [Batch 400/643] Loss: 0.8967
   [Batch 450/643] Loss: 0.9848
   [Batch 500/643] Loss: 0.8696
   [Batch 550/643] Loss: 0.9111
   [Batch 600/643] Loss: 0.9855
   [Batch 50/643] Loss: 0.9079
   [Batch 100/643] Loss: 0.8800
   [Batch 150/643] Loss: 0.8659
   [Batch 200/643] Loss: 0.8364
   [Batch 250/643] Loss: 0.9464
   [Batch 300/643] Loss: 0.9781
   [Batch 350/643] Loss: 1.0472
   [Batch 400/643] Loss: 0.9301
   [Batch 450/643] Loss: 1.0599
   [Batch 500/643] Loss: 1.0706
   [Batch 550/643] Loss: 0.9343
   [Batch 600/643] Loss: 0.9174
    30    0.9416    0.9817   23.421   0.8628   5.00e-05  178.9s
   [Batch 50/643] Loss: 0.8237
   [Batch 100/643] Loss: 1.0138
   [Batch 150/643] Loss: 0.8732
   [Batch 200/643] Loss: 0.9477
   [Batch 250/643] Loss: 1.0368
   [Batch 300/643] Loss: 0.9582
   [Batch 350/643] Loss: 1.0170
   [Batch 400/643] Loss: 1.0807
   [Batch 450/643] Loss: 0.7280
   [Batch 500/643] Loss: 0.9676
   [Batch 550/643] Loss: 0.9399
   [Batch 600/643] Loss: 0.8810
   [Batch 50/643] Loss: 1.0203
   [Batch 100/643] Loss: 0.9367
   [Batch 150/643] Loss: 0.9436
   [Batch 200/643] Loss: 0.9453
   [Batch 250/643] Loss: 0.9558
   [Batch 300/643] Loss: 0.9052
   [Batch 350/643] Loss: 0.9380
   [Batch 400/643] Loss: 0.8994
   [Batch 450/643] Loss: 0.9658
   [Batch 500/643] Loss: 0.8869
   [Batch 550/643] Loss: 1.0807
   [Batch 600/643] Loss: 0.9631
    32    0.9305    0.9748   23.426   0.8631   5.00e-05  179.2s
   [Batch 50/643] Loss: 0.9670
   [Batch 100/643] Loss: 0.9460
   [Batch 150/643] Loss: 1.0190
   [Batch 200/643] Loss: 0.8685
   [Batch 250/643] Loss: 0.9175
   [Batch 300/643] Loss: 0.8909
   [Batch 350/643] Loss: 0.8564
   [Batch 400/643] Loss: 0.9223
   [Batch 450/643] Loss: 0.9862
   [Batch 500/643] Loss: 0.9877
   [Batch 550/643] Loss: 0.9591
   [Batch 600/643] Loss: 0.8608
   [Batch 50/643] Loss: 1.0070
   [Batch 100/643] Loss: 1.0083
   [Batch 150/643] Loss: 0.9718
   [Batch 200/643] Loss: 0.8968
   [Batch 250/643] Loss: 0.9159
   [Batch 300/643] Loss: 0.9530
   [Batch 350/643] Loss: 0.9374
   [Batch 400/643] Loss: 0.9319
   [Batch 450/643] Loss: 0.9904
   [Batch 500/643] Loss: 1.0009
   [Batch 550/643] Loss: 1.0183
   [Batch 600/643] Loss: 0.8745
    34    0.9265    0.9738   23.584   0.8647   5.00e-05  179.8s  ← BEST ✓
   [Batch 50/643] Loss: 0.9202
   [Batch 100/643] Loss: 0.9407
   [Batch 150/643] Loss: 0.9538
   [Batch 200/643] Loss: 0.8257
   [Batch 250/643] Loss: 0.9951
   [Batch 300/643] Loss: 0.9664
   [Batch 350/643] Loss: 0.9032
   [Batch 400/643] Loss: 0.8823
   [Batch 450/643] Loss: 0.9630
   [Batch 500/643] Loss: 0.8504
   [Batch 550/643] Loss: 0.9282
   [Batch 600/643] Loss: 0.9078
   [Batch 50/643] Loss: 0.8247
   [Batch 100/643] Loss: 1.0260
   [Batch 150/643] Loss: 0.8403
   [Batch 200/643] Loss: 0.9943
   [Batch 250/643] Loss: 0.9215
   [Batch 300/643] Loss: 1.0276
   [Batch 350/643] Loss: 1.0041
   [Batch 400/643] Loss: 0.9570
   [Batch 450/643] Loss: 0.9817
   [Batch 500/643] Loss: 0.9792
   [Batch 550/643] Loss: 0.9695
   [Batch 600/643] Loss: 0.8238
    36    0.9241    0.9724   23.530   0.8652   5.00e-05  180.0s
   [Batch 50/643] Loss: 0.8754
   [Batch 100/643] Loss: 0.9214
   [Batch 150/643] Loss: 0.9051
   [Batch 200/643] Loss: 0.9413
   [Batch 250/643] Loss: 0.9429
   [Batch 300/643] Loss: 0.8463
   [Batch 350/643] Loss: 0.8827
   [Batch 400/643] Loss: 1.0166
   [Batch 450/643] Loss: 0.8613
   [Batch 500/643] Loss: 0.9083
   [Batch 550/643] Loss: 0.9530
   [Batch 600/643] Loss: 1.0358
   [Batch 50/643] Loss: 0.9152
   [Batch 100/643] Loss: 1.0532
   [Batch 150/643] Loss: 0.8495
   [Batch 200/643] Loss: 0.8497
   [Batch 250/643] Loss: 0.9019
   [Batch 300/643] Loss: 0.8758
   [Batch 350/643] Loss: 0.8831
   [Batch 400/643] Loss: 0.9769
   [Batch 450/643] Loss: 0.8670
   [Batch 500/643] Loss: 0.9278
   [Batch 550/643] Loss: 0.8571
   [Batch 600/643] Loss: 0.9744
    38    0.9219    0.9697   23.538   0.8669   5.00e-05  180.9s
   [Batch 50/643] Loss: 0.8174
   [Batch 100/643] Loss: 0.9151
   [Batch 150/643] Loss: 0.9846
   [Batch 200/643] Loss: 0.9592
   [Batch 250/643] Loss: 0.8312
   [Batch 300/643] Loss: 0.9282
   [Batch 350/643] Loss: 0.9606
   [Batch 400/643] Loss: 0.8980
   [Batch 450/643] Loss: 0.9849
   [Batch 500/643] Loss: 1.0529
   [Batch 550/643] Loss: 0.9317
   [Batch 600/643] Loss: 0.8327
   [Batch 50/643] Loss: 0.8271
   [Batch 100/643] Loss: 0.9336
   [Batch 150/643] Loss: 0.8953
   [Batch 200/643] Loss: 0.8498
   [Batch 250/643] Loss: 0.9364
   [Batch 300/643] Loss: 0.8553
   [Batch 350/643] Loss: 0.8598
   [Batch 400/643] Loss: 0.9670
   [Batch 450/643] Loss: 0.8875
   [Batch 500/643] Loss: 0.8581
   [Batch 550/643] Loss: 0.8795
   [Batch 600/643] Loss: 0.9995
    40    0.9175    0.9757   23.549   0.8649   5.00e-05  178.3s
   [Batch 50/643] Loss: 0.8002
   [Batch 100/643] Loss: 0.9563
   [Batch 150/643] Loss: 1.0038
   [Batch 200/643] Loss: 0.9510
   [Batch 250/643] Loss: 0.8605
   [Batch 300/643] Loss: 0.8862
   [Batch 350/643] Loss: 0.8790
   [Batch 400/643] Loss: 0.8667
   [Batch 450/643] Loss: 0.9739
   [Batch 500/643] Loss: 0.8855
   [Batch 550/643] Loss: 0.8659
   [Batch 600/643] Loss: 0.9229
   [Batch 50/643] Loss: 0.9143
   [Batch 100/643] Loss: 0.8729
