Run ID    : efficientnet5ch_euvp_bs16_20260624_053039
Ckpt dir  : ./checkpoints/efficientnet5ch_euvp_bs16_20260624_053039
Log file  : D:\underwater-image-enhancement\logs\efficientnet5ch_euvp_bs16_20260624_053039.log
Command   : train.py --dataset euvp --data_train_euvp ./datasets/EUVP --model efficientnet_5ch --batchSize 16 --threads 0 --nEpochs 50 --run_name efficientnet5ch_euvp_bs16
Timestamp : 2026-06-24 05:30:39
-----------------------------------------------------------------

=================================================================
  Training: efficientnet_5ch   epochs=50   batch=16
=================================================================
 Epoch    TrainL      ValL     PSNR     SSIM         LR    Time
-----------------------------------------------------------------
   [Batch 350/643] Loss: 0.9464
   [Batch 400/643] Loss: 1.0029
   [Batch 450/643] Loss: 0.9106
   [Batch 500/643] Loss: 0.9784
   [Batch 550/643] Loss: 1.0082
   [Batch 600/643] Loss: 0.9131
   [Batch 50/643] Loss: 0.8589
   [Batch 100/643] Loss: 0.9700
   [Batch 150/643] Loss: 1.0209
   [Batch 200/643] Loss: 0.9750
   [Batch 250/643] Loss: 0.8574
   [Batch 300/643] Loss: 0.8670
   [Batch 350/643] Loss: 0.9490
   [Batch 400/643] Loss: 0.9441
   [Batch 450/643] Loss: 0.8667
   [Batch 500/643] Loss: 0.7962
   [Batch 550/643] Loss: 0.9152
   [Batch 600/643] Loss: 0.9826
    46    0.9138    0.9500   23.589   0.8722   5.00e-05  171.4s
   [Batch 50/643] Loss: 0.7905
   [Batch 100/643] Loss: 0.8612
   [Batch 150/643] Loss: 0.9293
   [Batch 200/643] Loss: 0.8692
   [Batch 250/643] Loss: 0.9340
   [Batch 300/643] Loss: 0.8893
   [Batch 350/643] Loss: 0.8763
   [Batch 400/643] Loss: 0.8975
   [Batch 450/643] Loss: 0.9445
   [Batch 500/643] Loss: 0.9868
   [Batch 550/643] Loss: 1.0077
   [Batch 600/643] Loss: 0.9985
   [Batch 50/643] Loss: 1.0031
   [Batch 100/643] Loss: 0.8360
   [Batch 150/643] Loss: 0.9409
   [Batch 200/643] Loss: 0.8757
   [Batch 250/643] Loss: 0.8484
   [Batch 300/643] Loss: 0.8641
   [Batch 350/643] Loss: 0.9521
   [Batch 400/643] Loss: 0.8182
   [Batch 450/643] Loss: 0.9140
